danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,song_name,Unnamed: 0,title
0.857,0.73,0,-6.528,0,0.124,0.14,8.37e-06,0.106,0.4629999999999999,134.93,audio_features,0ui2yU9WtowW3SKO08CWgV,spotify:track:0ui2yU9WtowW3SKO08CWgV,https://api.spotify.com/v1/tracks/0ui2yU9WtowW3SKO08CWgV,https://api.spotify.com/v1/audio-analysis/0ui2yU9WtowW3SKO08CWgV,142667,4,Underground Rap,C. V FREESTYLE.,,
0.711,0.466,1,-12.305,1,0.243,0.0018,0.00409,0.309,0.7490000000000001,161.904,audio_features,0sWvmzFy5UHdV1rKVwYiqJ,spotify:track:0sWvmzFy5UHdV1rKVwYiqJ,https://api.spotify.com/v1/tracks/0sWvmzFy5UHdV1rKVwYiqJ,https://api.spotify.com/v1/audio-analysis/0sWvmzFy5UHdV1rKVwYiqJ,152082,4,Underground Rap,Glizzy Hella Geekin,,
0.7190000000000001,0.903,1,-5.07,1,0.3779999999999999,0.318,0.0786,0.962,0.544,123.064,audio_features,5QNEtckbp2AR7gVnknuZoK,spotify:track:5QNEtckbp2AR7gVnknuZoK,https://api.spotify.com/v1/tracks/5QNEtckbp2AR7gVnknuZoK,https://api.spotify.com/v1/audio-analysis/5QNEtckbp2AR7gVnknuZoK,141199,4,Underground Rap,Dumb Sh!t (with Jasiah),,
0.895,0.698,1,-6.575,1,0.207,0.565,0.0,0.305,0.325,199.996,audio_features,6iF5JgF1GNUQwlnsgnMzUu,spotify:track:6iF5JgF1GNUQwlnsgnMzUu,https://api.spotify.com/v1/tracks/6iF5JgF1GNUQwlnsgnMzUu,https://api.spotify.com/v1/audio-analysis/6iF5JgF1GNUQwlnsgnMzUu,193020,4,Underground Rap,No Effort,,
0.725,0.534,10,-6.275,0,0.0398,0.201,0.0,0.114,0.0395,120.009,audio_features,7h7Y5sDHeqPudsaI06gYdd,spotify:track:7h7Y5sDHeqPudsaI06gYdd,https://api.spotify.com/v1/tracks/7h7Y5sDHeqPudsaI06gYdd,https://api.spotify.com/v1/audio-analysis/7h7Y5sDHeqPudsaI06gYdd,120186,3,Underground Rap,Opal Ring,,
0.539,0.7959999999999999,5,-9.519,1,0.1159999999999999,0.406,0.391,0.0843,0.14,115.01,audio_features,5AGZ3p64Qps7PYPYlmmDLu,spotify:track:5AGZ3p64Qps7PYPYlmmDLu,https://api.spotify.com/v1/tracks/5AGZ3p64Qps7PYPYlmmDLu,https://api.spotify.com/v1/audio-analysis/5AGZ3p64Qps7PYPYlmmDLu,227484,4,Dark Trap,Nights,,
0.748,0.607,8,-7.656000000000001,1,0.0582,0.0167,0.682,0.1939999999999999,0.108,204.07,audio_features,5aKKflTd5q7VdpZNLYzfFP,spotify:track:5aKKflTd5q7VdpZNLYzfFP,https://api.spotify.com/v1/tracks/5aKKflTd5q7VdpZNLYzfFP,https://api.spotify.com/v1/audio-analysis/5aKKflTd5q7VdpZNLYzfFP,188254,4,Dark Trap,DUALITY,,
0.475,0.8290000000000001,8,-9.524,1,0.0314,2.87e-05,0.8190000000000001,0.14,0.059,125.062,audio_features,2KMx6lQLcmUpA3qp3ZD3iV,spotify:track:2KMx6lQLcmUpA3qp3ZD3iV,https://api.spotify.com/v1/tracks/2KMx6lQLcmUpA3qp3ZD3iV,https://api.spotify.com/v1/audio-analysis/2KMx6lQLcmUpA3qp3ZD3iV,184093,4,Dark Trap,Future Islands,,
0.484,0.5770000000000001,11,-10.859000000000002,0,0.0431,0.0986,0.452,0.0961,0.0664,209.818,audio_features,6Xp9bECPeqX8inDjdr5QB2,spotify:track:6Xp9bECPeqX8inDjdr5QB2,https://api.spotify.com/v1/tracks/6Xp9bECPeqX8inDjdr5QB2,https://api.spotify.com/v1/audio-analysis/6Xp9bECPeqX8inDjdr5QB2,208024,4,Dark Trap,Breathe,,
0.5539999999999999,0.495,11,-8.986,0,0.0283,0.0445,0.875,0.322,0.0711,119.961,audio_features,0eXCs8s3sSt9yG22I4W6t4,spotify:track:0eXCs8s3sSt9yG22I4W6t4,https://api.spotify.com/v1/tracks/0eXCs8s3sSt9yG22I4W6t4,https://api.spotify.com/v1/audio-analysis/0eXCs8s3sSt9yG22I4W6t4,156868,4,Dark Trap,cursed,,
